threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,actual_fraud,predicted_fraud,test_rows
0.01,0.9975188427508076,0.3974358974358974,0.8378378378378378,0.5391304347826087,0.974227111185468,0.7779638015415702,42554,94,12,62,74,156,42722
0.013510206714272499,0.9980806142034548,0.4696969696969697,0.8378378378378378,0.6019417475728155,0.974227111185468,0.7779638015415702,42578,70,12,62,74,132,42722
0.02,0.9984785356490801,0.5391304347826087,0.8378378378378378,0.656084656084656,0.974227111185468,0.7779638015415702,42595,53,12,62,74,115,42722
0.03,0.998853049950845,0.6262626262626263,0.8378378378378378,0.7167630057803468,0.974227111185468,0.7779638015415702,42611,37,12,62,74,99,42722
0.04,0.9990168999578671,0.6739130434782609,0.8378378378378378,0.7469879518072289,0.974227111185468,0.7779638015415702,42618,30,12,62,74,92,42722
0.05,0.9991105285333084,0.7045454545454546,0.8378378378378378,0.7654320987654321,0.974227111185468,0.7779638015415702,42622,26,12,62,74,88,42722
0.060000000000000005,0.999157342821029,0.7209302325581395,0.8378378378378378,0.775,0.974227111185468,0.7779638015415702,42624,24,12,62,74,86,42722
0.06999999999999999,0.9991807499648893,0.7294117647058823,0.8378378378378378,0.779874213836478,0.974227111185468,0.7779638015415702,42625,23,12,62,74,85,42722
0.08,0.9992041571087495,0.7439024390243902,0.8243243243243243,0.782051282051282,0.974227111185468,0.7779638015415702,42627,21,13,61,74,82,42722
0.09,0.9992743785403305,0.7721518987341772,0.8243243243243243,0.7973856209150327,0.974227111185468,0.7779638015415702,42630,18,13,61,74,79,42722
0.09999999999999999,0.9992977856841908,0.7894736842105263,0.8108108108108109,0.8,0.974227111185468,0.7779638015415702,42632,16,14,60,74,76,42722
0.11,0.9993211928280511,0.8,0.8108108108108109,0.8053691275167785,0.974227111185468,0.7779638015415702,42633,15,14,60,74,75,42722
0.12,0.9993445999719114,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.974227111185468,0.7779638015415702,42634,14,14,60,74,74,42722
0.13,0.9993680071157718,0.821917808219178,0.8108108108108109,0.8163265306122449,0.974227111185468,0.7779638015415702,42635,13,14,60,74,73,42722
0.14,0.9993914142596321,0.8333333333333334,0.8108108108108109,0.821917808219178,0.974227111185468,0.7779638015415702,42636,12,14,60,74,72,42722
0.15000000000000002,0.9994148214034924,0.8450704225352113,0.8108108108108109,0.8275862068965517,0.974227111185468,0.7779638015415702,42637,11,14,60,74,71,42722
0.16,0.9994382285473526,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.974227111185468,0.7779638015415702,42638,10,14,60,74,70,42722
0.17,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.18000000000000002,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.19,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.2,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.21000000000000002,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.22,0.9994616356912129,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.974227111185468,0.7779638015415702,42639,9,14,60,74,69,42722
0.23,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.24000000000000002,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.25,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.26,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.27,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.28,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.29000000000000004,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.3,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.31,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.32,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.33,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.34,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.35000000000000003,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.36000000000000004,0.9994616356912129,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.974227111185468,0.7779638015415702,42640,8,15,59,74,67,42722
0.37,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.38,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.39,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.4,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.41000000000000003,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.42000000000000004,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.43,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.44,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.45,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.46,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.47000000000000003,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.48000000000000004,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.49,0.9994382285473526,0.8787878787878788,0.7837837837837838,0.8285714285714286,0.974227111185468,0.7779638015415702,42640,8,16,58,74,66,42722
0.5,0.9994148214034924,0.8769230769230769,0.7702702702702703,0.8201438848920863,0.974227111185468,0.7779638015415702,42640,8,17,57,74,65,42722
0.51,0.9993914142596321,0.875,0.7567567567567568,0.8115942028985508,0.974227111185468,0.7779638015415702,42640,8,18,56,74,64,42722
0.52,0.9993914142596321,0.875,0.7567567567567568,0.8115942028985508,0.974227111185468,0.7779638015415702,42640,8,18,56,74,64,42722
0.53,0.9993680071157718,0.873015873015873,0.7432432432432432,0.8029197080291971,0.974227111185468,0.7779638015415702,42640,8,19,55,74,63,42722
0.54,0.9993680071157718,0.873015873015873,0.7432432432432432,0.8029197080291971,0.974227111185468,0.7779638015415702,42640,8,19,55,74,63,42722
0.55,0.9993914142596321,0.8870967741935484,0.7432432432432432,0.8088235294117647,0.974227111185468,0.7779638015415702,42641,7,19,55,74,62,42722
