,0,1,2,3,4
Education,0.0004418399,-0.015002975,-0.01325674,-0.053850587,0.024774466
Engineering,0.058041207,-0.028033294,0.009110648,0.022584813,-0.06192798
Finance,0.0124824885,0.056138646,0.009474054,0.014290175,0.03484805
HR,-0.043319244,-0.0284043,-0.00691169,-0.046454474,-0.013120914
Healthcare,0.017383358,0.011028186,-0.06960512,-0.018497033,-0.022417298
Legal,0.017696489,-0.031957485,-0.017224537,0.05293357,-0.020986002
Marketing,0.0010197697,0.0075650252,-0.036088504,-0.008026839,0.07685014
Operations,-0.010500841,0.042048994,0.051206246,-0.048602045,-0.023837736
Retail,0.03699885,0.02623989,-0.062633015,-0.05448365,-0.03373442
Sales,-0.041751694,0.009072655,0.039342377,0.05915346,0.07606595
Support,-0.023855638,-0.0107795345,-0.04433221,0.025655331,-0.10024138
