feature,auc_drop_mean,auc_drop_std
income_estimate,0.07178553080192418,0.0
days_since_last_activity,0.034655083835411715,0.0
education_level,0.0260613703236654,0.0
years_experience,0.023212367474662488,0.0
avg_basket_value,0.022651907897809465,0.0
monthly_sessions,0.015599458222408935,0.0
credit_utilization,0.013544439773947925,0.0
age,0.008967353229648256,0.0
region,0.0033160524963803395,0.0
membership_tier,0.0006071645415907101,0.0
product_category,-1.1102230246251565e-16,0.0
occupation,-0.00018681985895108166,0.0
device_type,-0.0007939844005417918,0.0
channel,-0.008453598617533031,0.0
